original_text,actual_stars,predicted_stars,explanation,approach,json_valid
"What happened to this place?  The first time I went about a year ago, both the food and service were great.

Second time, last May, I ordered the same dish and it was horrible.  Drowning in sauce.  But, at least the service was decent.

Just went a third time and it will be my last.  Both the food and service were horrible.  Went for lunch, sat inside and it wasn't very busy.  Our waiter was totally out of it and only had 4 tables and hardly paid any attention to us and kept forgetting things, like taking our order to start.  

Then, even the food runner forgot to bring me half my meal after I asked her for it.  In the meantime, I counted at least 17 staff member hanging out in the kitchen area, which is open, so you can see them and half of them were folding napkins.

My food was not very good and actually made me a little sick.  This is a shame, especially because there aren't many places in Phx that have vegan choices, but for the price you pay, I would expect a lot more.",1,1,"The review expresses strong disappointment with both food and service on the most recent visit, a significant decline from a previous positive experience. The reviewer also mentions feeling sick from the food.",Few-Shot,True
"Contemporary atmosphere.  Good range of Italian offerings.  Attentive wait staff.  Portions generous.  Price reasonable.  Food fine.  
I'd go again.",3,4,"Overall positive sentiment with mentions of good atmosphere, attentive staff, generous portions, reasonable price, and a willingness to return.",Few-Shot,True
"Only reason for the 2 stars is for the service. 
The food was not very good at all. My dinner was hardshell taco's or something that consist of hardshell taco's but when they came out the shells were soggy and you couldn't eat them. 
The drink specials were good and we had a very nice server.",2,2,"Mixed sentiment. Positive service, but negative food quality (soggy tacos).",Few-Shot,True
"Love the shows the promoters bring in. Cozy spot where I've seen Owl City, A Fine Frenzy, Landon Pigg and more. Plus they are generous with the Malibu Rum :) You will need to visit the bar to get your own as I've never really seen cocktail servers. Oh well... 

Atmosphere is laid back, chill. A large patio. And yes, the Shaker Room. The hot, shake your stripper ass, place to be.",5,5,"Strong positive sentiment due to enjoyment of shows, cozy atmosphere, generous drinks, and laid-back vibe.",Few-Shot,True
"Jan Ross has one of the best selections of crystals I've seen - they literally had every crystal I was looking for, and I subsequently left as a satisfied customer. Friendly staff too.",4,5,"Positive sentiment due to excellent selection, customer satisfaction, and friendly staff.",Few-Shot,True
"I'm sad to say that I wasn't in love with MacAlpine's.  The fact that the building has never been restored is cool, in a dirty kind of way.  The floors will never be clean enough, because they are so old.  That may seem ridiculous, but cleanliness is important to me when I'm eating somewhere.

Our server was odd, but helpful and attentive.  We spent a good amount of time oogling the random items displayed throughout and were entertained with our surroundings.

The food is where I saw the problem- my Mac Cheeseburger was bland and tasteless.  My broccoli and cheese soup was below average.  I wasn't impressed one bit.

We ended up having dessert.  I opted for a single scoop of Chocolate Malt Krunch, which I'd never had before and didn't love (total personal preference as my friend loved it).  MacAlpine's is cool, but I think purely as a place to get something sweet.",3,2,Mixed feelings. Cool atmosphere but food quality is poor and cleanliness is a concern.,Few-Shot,True
"eeew. It started with a cranky waiter who told me that if I wanted to know the specials, then I should have read them on the board. The food was downhill from there. The entire place smelled like fried onions.",1,1,Strong negative sentiment due to poor service and unpleasant food and smell.,Few-Shot,True
"Just went to this theater last night, and it was great!  Started with friendly staff...every one of them! (not common these days)  Went to get a popcorn, and the nice girl suggested....""why don't you press your button at your seat and someone will come serve you!  Take advantage of the service!""  We went to our seat and after we pressed the service button, someone came within a few minutes.  There was a full menu at our fingertips...including alcohol and specialty coffees.  Our seats were comfortable, leather (or pleather), roomy, we could stretch out our legs without touching the chairs in front of us, we had 3 cup holders between the both of us, and the seats leaned back.  Not a bad seat in the theater...we got to pick our seats BEFORE we went into the movie on a touch screen computer/pad.  

I'm really impressed with the prices, too, because for just $2 more than a regular, cramped, loud, teenager-infested movie theater, we felt like we were getting First Class treatment, all night!  The snack, food and drink prices are typical for a movie theater; but not more than it would be elsewhere.  Pretzel was about $4.50 and Hummus was about $6.50 for example.  

I'm sad to read Ruth Ann's review because it sounds like an isolated incident, and it also sounds like they did a lot to take care of the issues she had...an experience can't be absolutely perfect.  In my case, there was a little bit of stickiness near my cup holder, but that's not something that will bring my experience down an entire star or 3! 

Go to this theater!  It's really a great night out! (As long as you like the movie you pick, which we did :)",5,5,"Extremely positive review highlighting excellent service, comfortable seating, and reasonable prices. The reviewer also dismisses a negative review as an isolated incident.",Few-Shot,True
"Ahh what a nice place to let your four legged friend run free! This park is huge, spacious, lots of trees, benches (for the two legged friends) and trash cans. One of the best  bark parks in the Valley. Not too many complaints other than the jerks who refuse to pick up after the doggies. People please, they have pooper scoopers, baggies, and trash cans, it couldn't be easier. Oh, and if you have an aggressive dog, maybe take him for a walk outside instead of letting killer on the loose in the park. My Golden is notorious for being over friendly and ran up to a huuuuge bull mastiff (I shall not name names, but it rhymes with bing!) grabbed my golden by the neck and pinned him down till we removed the mastiff off. Anyway, point it... it's a dog friendly park... let's keep it that way. Oh and another reason to keep the kiddies out, I think there's even a sign posted up there. I see kids running up to dogs over petting, grabbing tails, etc... not a good idea. Read the signs parents, it's for your own benefit. So bring your dogs here, they'll have a blast playing, running, smelling this and that, good times.",4,4,"Largely positive review of the dog park, highlighting its spaciousness and amenities, but with concerns about irresponsible dog owners and children's safety.",Few-Shot,True
Great mall. has pretty much everything.,4,4,Positive sentiment indicating a comprehensive and satisfying shopping experience.,Few-Shot,True
"Totally sufficient for a few rounds of pool or darts while keeping an eye on the 67 tv screens they have mounted on the walls.

Just stick to the cheap pitchers of domestic beer. I ordered a rum and coke and it tasted like cleaning products. 

I would come back, but only if I didn't feel like driving all the way to Lucky Break in Tempe.",3,3,"Mixed experience. Positive about the atmosphere and activities, but negative about the rum and coke. Suggests it's a fallback option.",Few-Shot,True
"Great Happy Hour. Get the TACO BASKET~!
Thursday-Mexican Beer $3",4,4,Positive sentiment due to 'Great Happy Hour' and specific mention of a popular item.,Few-Shot,True
"my husband and i LOVE this place! 

no, we cannot afford to get our weekly groceries here (although it would be terrific if we could), but we view oakville as an excellent alternative to dining out on the weekend. 

the food is delicious (think deli, simplicity, quality ingredients), and the atmosphere is comfortable and relaxing! we found that if it's too crowded inside, then it's easy enough go outside to the awesome patio area to enjoy our beer and goodies :)",5,5,"Strong positive sentiment expressed with words like 'LOVE', 'delicious', 'comfortable', and 'relaxing'. The reviewer clearly enjoys the food and atmosphere.",Few-Shot,True
