original_text,actual_stars,predicted_stars,explanation,approach,json_valid
"What happened to this place?  The first time I went about a year ago, both the food and service were great.

Second time, last May, I ordered the same dish and it was horrible.  Drowning in sauce.  But, at least the service was decent.

Just went a third time and it will be my last.  Both the food and service were horrible.  Went for lunch, sat inside and it wasn't very busy.  Our waiter was totally out of it and only had 4 tables and hardly paid any attention to us and kept forgetting things, like taking our order to start.  

Then, even the food runner forgot to bring me half my meal after I asked her for it.  In the meantime, I counted at least 17 staff member hanging out in the kitchen area, which is open, so you can see them and half of them were folding napkins.

My food was not very good and actually made me a little sick.  This is a shame, especially because there aren't many places in Phx that have vegan choices, but for the price you pay, I would expect a lot more.",1,1,"The reviewer describes a significant decline in quality over three visits, culminating in a terrible experience with both food and service, including feeling sick from the food. They also mention staff idleness and high prices, indicating strong dissatisfaction.",Simple,True
"Contemporary atmosphere.  Good range of Italian offerings.  Attentive wait staff.  Portions generous.  Price reasonable.  Food fine.  
I'd go again.",3,4,"The review expresses mostly positive sentiments: 'Good range', 'Attentive wait staff', 'Portions generous', 'Price reasonable', and 'I'd go again'. The only slightly negative comment is 'Food fine', which suggests it was acceptable but not exceptional. Overall, the positive aspects outweigh the neutral one, suggesting a 4-star rating.",Simple,True
"Only reason for the 2 stars is for the service. 
The food was not very good at all. My dinner was hardshell taco's or something that consist of hardshell taco's but when they came out the shells were soggy and you couldn't eat them. 
The drink specials were good and we had a very nice server.",2,2,"The review mentions good service but poor food quality, specifically soggy taco shells. This suggests a negative experience overall, justifying a 2-star rating.",Simple,True
"Love the shows the promoters bring in. Cozy spot where I've seen Owl City, A Fine Frenzy, Landon Pigg and more. Plus they are generous with the Malibu Rum :) You will need to visit the bar to get your own as I've never really seen cocktail servers. Oh well... 

Atmosphere is laid back, chill. A large patio. And yes, the Shaker Room. The hot, shake your stripper ass, place to be.",5,5,"The reviewer expresses strong positive sentiment, mentioning 'Love the shows,' 'cozy spot,' 'generous with the Malibu Rum,' and 'laid back, chill' atmosphere. The overall tone is enthusiastic and appreciative.",Simple,True
"Jan Ross has one of the best selections of crystals I've seen - they literally had every crystal I was looking for, and I subsequently left as a satisfied customer. Friendly staff too.",4,4,"The review expresses strong positive sentiment, highlighting a great selection of crystals and a satisfied customer experience, along with friendly staff.",Simple,True
"I'm sad to say that I wasn't in love with MacAlpine's.  The fact that the building has never been restored is cool, in a dirty kind of way.  The floors will never be clean enough, because they are so old.  That may seem ridiculous, but cleanliness is important to me when I'm eating somewhere.

Our server was odd, but helpful and attentive.  We spent a good amount of time oogling the random items displayed throughout and were entertained with our surroundings.

The food is where I saw the problem- my Mac Cheeseburger was bland and tasteless.  My broccoli and cheese soup was below average.  I wasn't impressed one bit.

We ended up having dessert.  I opted for a single scoop of Chocolate Malt Krunch, which I'd never had before and didn't love (total personal preference as my friend loved it).  MacAlpine's is cool, but I think purely as a place to get something sweet.",3,3,"The reviewer mentions both positive and negative aspects. They appreciate the unique atmosphere and attentive service but are disappointed with the food's blandness. The dessert experience was mixed, with the reviewer not personally enjoying their choice but acknowledging it was a matter of personal preference. Overall, the review leans towards a slightly below-average experience.",Simple,True
"eeew. It started with a cranky waiter who told me that if I wanted to know the specials, then I should have read them on the board. The food was downhill from there. The entire place smelled like fried onions.",1,1,"The review expresses strong negativity with words like 'eeew,' 'cranky,' and describing the food as 'downhill.' The unpleasant smell further contributes to a very negative experience.",Simple,True
"Just went to this theater last night, and it was great!  Started with friendly staff...every one of them! (not common these days)  Went to get a popcorn, and the nice girl suggested....""why don't you press your button at your seat and someone will come serve you!  Take advantage of the service!""  We went to our seat and after we pressed the service button, someone came within a few minutes.  There was a full menu at our fingertips...including alcohol and specialty coffees.  Our seats were comfortable, leather (or pleather), roomy, we could stretch out our legs without touching the chairs in front of us, we had 3 cup holders between the both of us, and the seats leaned back.  Not a bad seat in the theater...we got to pick our seats BEFORE we went into the movie on a touch screen computer/pad.  

I'm really impressed with the prices, too, because for just $2 more than a regular, cramped, loud, teenager-infested movie theater, we felt like we were getting First Class treatment, all night!  The snack, food and drink prices are typical for a movie theater; but not more than it would be elsewhere.  Pretzel was about $4.50 and Hummus was about $6.50 for example.  

I'm sad to read Ruth Ann's review because it sounds like an isolated incident, and it also sounds like they did a lot to take care of the issues she had...an experience can't be absolutely perfect.  In my case, there was a little bit of stickiness near my cup holder, but that's not something that will bring my experience down an entire star or 3! 

Go to this theater!  It's really a great night out! (As long as you like the movie you pick, which we did :)",5,5,"The reviewer raves about the friendly staff, comfortable seating, in-seat service, and overall first-class experience, highlighting the value for the price. They also dismiss a negative review as an isolated incident, indicating high satisfaction.",Simple,True
"Ahh what a nice place to let your four legged friend run free! This park is huge, spacious, lots of trees, benches (for the two legged friends) and trash cans. One of the best  bark parks in the Valley. Not too many complaints other than the jerks who refuse to pick up after the doggies. People please, they have pooper scoopers, baggies, and trash cans, it couldn't be easier. Oh, and if you have an aggressive dog, maybe take him for a walk outside instead of letting killer on the loose in the park. My Golden is notorious for being over friendly and ran up to a huuuuge bull mastiff (I shall not name names, but it rhymes with bing!) grabbed my golden by the neck and pinned him down till we removed the mastiff off. Anyway, point it... it's a dog friendly park... let's keep it that way. Oh and another reason to keep the kiddies out, I think there's even a sign posted up there. I see kids running up to dogs over petting, grabbing tails, etc... not a good idea. Read the signs parents, it's for your own benefit. So bring your dogs here, they'll have a blast playing, running, smelling this and that, good times.",4,4,"The reviewer expresses overall positive sentiment, highlighting the park's spaciousness, amenities, and dog-friendly atmosphere. While mentioning issues with irresponsible owners and potential dangers with aggressive dogs and unsupervised children, the overall tone remains positive, suggesting a pleasant experience despite these concerns.",Simple,True
Great mall. has pretty much everything.,4,0,"Expecting ',' delimiter: line 3 column 65 (char 92)",Simple,False
"Totally sufficient for a few rounds of pool or darts while keeping an eye on the 67 tv screens they have mounted on the walls.

Just stick to the cheap pitchers of domestic beer. I ordered a rum and coke and it tasted like cleaning products. 

I would come back, but only if I didn't feel like driving all the way to Lucky Break in Tempe.",3,3,"The review is mixed. The reviewer found the place 'totally sufficient' for games and watching TV, but the rum and coke tasted like cleaning products. They would return, but only if they didn't want to drive further, suggesting it's a decent but not outstanding option.",Simple,True
"Great Happy Hour. Get the TACO BASKET~!
Thursday-Mexican Beer $3",4,5,"The review expresses enthusiasm with 'Great Happy Hour' and recommends a specific item, indicating a positive experience.",Simple,True
"my husband and i LOVE this place! 

no, we cannot afford to get our weekly groceries here (although it would be terrific if we could), but we view oakville as an excellent alternative to dining out on the weekend. 

the food is delicious (think deli, simplicity, quality ingredients), and the atmosphere is comfortable and relaxing! we found that if it's too crowded inside, then it's easy enough go outside to the awesome patio area to enjoy our beer and goodies :)",5,5,"The reviewer expresses strong positive sentiment, stating they 'LOVE this place' and find it an 'excellent alternative to dining out.' They praise the food as delicious and the atmosphere as comfortable and relaxing. They also appreciate the patio area. Despite not being able to afford weekly groceries there, the overall tone is highly positive.",Simple,True
"I found this little hot spot on Yelp and used my phone to navigate me there; I wouldn't have found it otherwise.  This small establishment is hidden in a neighborhood right off of Historic Downtown Chandler.  It's a quaint little diner with modest décor.  I felt very comfortable there and the service was fast and friendly.  As I looked over the menu the first thing I saw was the Morning Monte and havarti cheese as one of the ingredients.  Cheddar isn't better; it's all about havarti folks!  I needn't look further; I knew that's what I was having.  Hawaiian bread French toast, bacon, turkey, egg and the havarti - absolutely delicious!  Can't wait to come back and bring everyone I know.",5,5,"The reviewer expresses strong positive sentiment, highlighting the discovery of the 'hot spot,' the comfortable atmosphere, fast and friendly service, and the deliciousness of the Morning Monte. The enthusiasm and desire to return and recommend the place indicate a 5-star experience.",Simple,True
"oooooooooh man am I SO GLAD this place isn't near my house, I would gain 20 pounds in no time! 

My sister took me here for the first time a couple weeks ago and my mind was blown by all the unique flavors they served! 

The shop itself is very cute and modern. I like that they have a section in the back with a bunch of board games, very cool. 

As for the ice cream I got the dutch chocolate and the horchata. The horchata was so so good, I cant stop thinking about it! 

The following week I took the husband there. Again the ice cream was very good but the service was terrible. It was an older lady behind the counter and she really couldn't care less that we were standing there. She let me sample an ice cream and then I just stood there for a good 5 minutes while she did other things behind the counter. We did finally get served but my husband wasn't impressed with the serves one bit. This time I got my ice cream in a waffle cone, the cone was so light and airy, I loved it!",4,4,"The review is overwhelmingly positive, highlighting unique flavors, a cute shop, and delicious ice cream (especially the horchata). The only negative point is the poor service from one employee, but the overall experience seems very enjoyable.",Simple,True
"I went here for lunch a couple of weeks ago with my bosses. It was packed on a Friday - we sat at the bar and our cook was fantastic! We got to sit and chat with him while he worked away at the orders. I had the chicken pesto pasty and it was wonderful! the bread used is similar to a pastry dough type...but not as sweet. The pasty was so filling, I could barely finish it.

My bosses have been there before and have always wanted to try the peanut butter and jelly pasty - so we all split it as dessert and it was so good. They put bananas in it and drizzle jelly over the whole pasty. It's definitely rich and gooey. 

I would totally go back here again and have told my friends about it too! Amazing place.",5,5,"The reviewer expresses strong positive sentiment, describing the food as 'wonderful' and 'so good'. They also enjoyed the experience of interacting with the cook and express a desire to return and recommend the place to others, indicating a very positive overall experience.",Simple,True
